,name,src,dst,service,protocol,action,Logging ,comments
19,deny-gball-to-usw1nwhub-all,GRPNET-em-uk-london-all-011,net-az-us-usw1-nwhubvnetsubnet-001,Any,Any,DENY,Log,Deny GBR Emea to West-US Hub All
20,allow-gball-to-jpe1,GRPNET-em-uk-london-all-001,net-az-jp-jpe1-vnetsubnet-001,Any,Any,Permit,Log,
21,allow-jpe1-to-gball,net-az-jp-jpe1-vnetsubnet-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,
22,allow-gball-to-jpe1nwhub,GRPNET-em-uk-london-all-001,net-az-jp-jpe1-nwhubvnetsubnet-001,Any,Any,Permit,Log,
23,allow-jpe1nwhub-to-gball,net-az-jp-jpe1-nwhubvnetsubnet-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,
24,allow-sacall-to-gball,GRPNET-am-us-sac-all-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,
25,allow-gball-to-sacall,GRPNET-em-uk-london-all-001,GRPNET-am-us-sac-all-001,Any,Any,Permit,Log,
26,allow-beall-to-gball,GRPNET-em-be-bruxelles-all-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,Emea Region inter-site
27,allow-gball-to-beall,GRPNET-em-uk-london-all-001,GRPNET-em-be-bruxelles-all-001,Any,Any,Permit,Log,Emea Region inter-site
28,allow-chall-to-gball,GRPNET-em-ch-geneve-all-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,Emea Region inter-site
29,allow-gball-to-chall,GRPNET-em-uk-london-all-001,GRPNET-em-ch-geneve-all-001,Any,Any,Permit,Log,Emea Region inter-site
30,allow-nlall-to-gball,GRPNET-em-nl-schiphol-all-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,Emea Region inter-site
31,allow-gball-to-nlall,GRPNET-em-uk-london-all-001,GRPNET-em-nl-schiphol-all-001,Any,Any,Permit,Log,Emea Region inter-site
32,allow-esall-to-gball,GRPNET-em-es-madrid-all-001,GRPNET-em-uk-london-all-001,Any,Any,Permit,Log,Emea Region inter-site
33,allow-gball-to-esall,GRPNET-em-uk-london-all-001,GRPNET-em-es-madrid-all-001,Any,Any,Permit,Log,Emea Region inter-site
